method,seed,loss_start_time,loss_duration,loss_end_time,success,recovered,retained_recovery,rmse,steady_rmse,stable_ratio,capture_time,recovery_time,retained_settling_time,loss_window_peak_error,post_loss_peak_error,forward_overshoot,post_loss_forward_overshoot,command_smoothness,max_command_change,final_error,final_relative_speed,initial_uav_x,initial_uav_y,ugv_vx
PD+FF,1065,3.0,0.0,3.0,True,True,True,0.24051411265283354,0.030054522170355424,0.7825,4.3500000000000005,1.3500000000000005,1.3500000000000005,0.0,0.27857863903045654,0.0,0.0,4.4524058466777205e-06,0.007251631002873182,0.00010430141992401332,4.934263415634632e-05,-0.5033138990402222,-0.5932050347328186,0.453745573759079
PD+FF,1066,3.0,0.0,3.0,True,True,True,0.41529727657905946,0.05147672317479929,0.7225,5.550000000000001,2.5500000000000007,2.5500000000000007,0.0,0.47713911533355713,0.0,0.0,1.117567444453016e-05,0.012309524230659008,0.00019222057017032057,9.019601566251367e-05,-1.3762075901031494,0.32575497031211853,0.20805609226226807
PD+FF,1067,3.0,0.0,3.0,True,True,True,0.2944870702960977,0.03511269494487122,0.765,4.7,1.7000000000000002,1.7000000000000002,0.0,0.3254665434360504,0.0,0.0,6.961503004276892e-06,0.009821220301091671,0.00012674846220761538,5.9195386711508036e-05,-0.6176835894584656,0.9055254459381104,0.20151829719543457
PD+FF,1068,3.0,0.0,3.0,True,True,True,0.26916741512965925,0.03269658493423027,0.7725,4.55,1.5499999999999998,1.5499999999999998,0.0,0.3030739426612854,0.0,0.0,5.418373348220484e-06,0.00858324021100998,0.0001233189832419157,5.733281432185322e-05,-0.7787961959838867,0.5352519750595093,0.25048118829727173
PD+FF,1069,3.0,0.0,3.0,True,True,True,0.26616592563922037,0.03177677299083787,0.775,4.5,1.5,1.5,0.0,0.29454153776168823,0.0,0.0,5.739279458794044e-06,0.008807997219264507,0.00011855122284032404,5.5316580983344465e-05,-0.5076419115066528,0.8446078896522522,0.24751581251621246
PD+FF,1070,3.0,0.0,3.0,True,True,True,0.5619850781556242,0.07016897942949629,0.69,6.2,3.2,3.2,0.0,0.6503899097442627,0.0,0.0,2.0166144167887978e-05,0.015840740874409676,0.0002622129686642438,0.00012211395369376987,-1.6644020080566406,0.9533751606941223,0.22921264171600342
PD+FF,1071,3.0,0.0,3.0,True,True,True,0.5414778381814165,0.06842930504065645,0.6925,6.15,3.1500000000000004,3.1500000000000004,0.0,0.6342601776123047,0.0,0.0,1.7520471374155022e-05,0.015084301121532917,0.0002566158364061266,0.00011975569213973358,-1.6379417181015015,0.7469041347503662,0.26974478363990784
PD+FF,1072,3.0,0.0,3.0,True,True,True,0.4337090125174954,0.05726818192526989,0.7125,5.75,2.75,2.75,0.0,0.5307891368865967,0.0,0.0,8.856300155457575e-06,0.011734899133443832,0.00021931495575699955,0.00010147508874069899,-1.22187077999115,0.3675197660923004,0.4661308228969574
PD+FF,1073,3.0,0.0,3.0,True,True,True,0.5426552452070172,0.06990370141640181,0.69,6.2,3.2,3.2,0.0,0.6479188799858093,0.0,0.0,1.5028509551484603e-05,0.01445464976131916,0.00025470092077739537,0.00011921399709535763,-1.5133368968963623,0.8512749075889587,0.3800120949745178
PD+FF,1074,3.0,0.0,3.0,True,True,True,0.20873705853490493,0.027106408813303718,0.7925,4.15,1.1500000000000004,1.1500000000000004,0.0,0.2512388825416565,0.0,0.0,3.1749229947308777e-06,0.006803547032177448,8.266921940958127e-05,3.983652641181834e-05,-0.5001789927482605,-0.2884053587913513,0.4962819218635559
PD+FF,1075,3.0,0.0,3.0,True,True,True,0.3452018375813247,0.04156418694638572,0.7475,5.050000000000001,2.0500000000000007,2.0500000000000007,0.0,0.38526907563209534,0.0,0.0,9.090457751881331e-06,0.011009875684976578,0.00015272514428943396,7.1341433795169e-05,-0.8189709782600403,0.9466501474380493,0.23914383351802826
